"","geo_id","med_income_2010","med_income_2011","med_income_2012","med_income_2013","med_income_2014","med_income_2015","med_income_2016","med_income_2017","med_income_2018","med_income_2019","med_income_2020","med_income_2021","med_income_2022","med_income_2023","med_income_2024"
"107","1400000US53011040511",89231,73269,76107,73413,74762,73309,91321,95833,117143,119000,122292,126198,138500,141033,131042
"108","1400000US53011040603",86051,87298,81542,79577,80900,80132,78333,84040,100708,112330,116927,126750,130344,133946,115833
"109","1400000US53011040604",80655,73028,71780,68143,67168,70379,72775,76089,80769,88561,93098,104358,112832,120057,134097
"110","1400000US53011040605",62400,63924,65250,74393,76830,78774,79668,86875,93015,91964,88984,104803,107857,126298,128340
"111","1400000US53011040608",104375,120000,111875,108750,115478,109844,103214,101951,107436,123393,126724,118929,120139,118365,112813
"112","1400000US53011040609",100804,101635,111161,114665,113125,125897,129671,132910,136360,146337,154487,160370,179034,178444,178854
"113","1400000US53011040610",93922,88438,97906,115793,121000,121447,125430,131513,134875,140000,143643,152121,170395,176516,179926
"114","1400000US53011040703",61198,63092,67188,63604,68718,64338,56821,60357,70375,69741,82163,82887,89216,92429,94437
"115","1400000US53011040706",47849,46667,43155,39591,44388,45324,41893,48242,55625,54625,58958,61959,67878,70683,73177
"116","1400000US53011040707",50054,49961,52933,58495,57117,60000,61607,64375,64528,69583,73534,81630,91742,101505,106069
"117","1400000US53011040709",86214,78672,75270,67110,72225,66810,68443,70733,74458,74913,87242,100136,115577,114385,124524
"118","1400000US53011040710",71544,66292,65270,60521,60142,63450,71189,78050,79543,82464,NA,NA,NA,NA,NA
"119","1400000US53011040711",61814,59464,53906,55161,43125,52917,57226,62939,59325,65278,71164,84730,82367,100714,120328
"120","1400000US53011040712",64890,70625,71899,75604,72231,72282,69876,73902,79432,87786,87393,93488,102095,104651,103464
"121","1400000US53011040803",69313,70056,77986,80291,81643,83413,87923,92683,90956,87031,81387,86747,92550,99196,115547
"122","1400000US53011040805",77007,74881,77311,86892,79071,89408,85787,89617,93719,98911,NA,NA,NA,NA,NA
"123","1400000US53011040806",69342,70186,67906,66250,69226,71513,74250,78559,77614,80549,92630,98075,105563,110185,105988
"124","1400000US53011040808",41950,37380,36484,39375,46098,48977,50590,54279,61083,66250,68580,61111,67813,64519,72250
"125","1400000US53011040809",57061,58860,52288,58958,53389,52074,60750,63462,68723,76464,70147,61066,64604,67775,74936
"126","1400000US53011040810",54318,52031,61370,54013,60714,68304,68750,73696,82212,74954,82031,94091,102014,106500,113429
"127","1400000US53011040904",46915,49545,50577,44032,45577,44803,48442,52160,65727,56589,66264,67213,74649,87298,93750
"128","1400000US53011040905",75544,79121,81840,81272,85903,96875,92308,94821,97286,98576,79265,92419,107321,104137,103611
"129","1400000US53011040907",109952,116964,113148,107292,110188,110536,114398,134023,140543,141887,141058,145041,157541,162845,169609
"130","1400000US53011040908",83463,83405,81356,76780,80151,80637,81175,94417,102248,104232,121250,130465,139038,131757,130339
